cluster,values
1,0.9987759
2,0.9987747
3,0.99877506
4,0.9987739
5,0.99877185
6,0.998769
7,0.99876404
8,0.99875605
9,0.9987447
10,0.9987282
11,0.9987031
12,0.9987791
13,0.9987803
14,0.99878114
15,0.9987808
16,0.99877745
17,0.9987734
18,0.0011417598
19,0.0011418702
20,0.0011399041
21,0.0011353457
22,0.0011296802
23,0.0011321106
24,0.0011325382
25,0.001129436
26,0.0011557627
27,0.00115095
28,0.0011483047
29,0.0011434321
30,0.0011386686
31,0.001137397
32,0.0011376267
33,0.0011381551
34,0.0011352494
35,0.0011322087
36,0.0011988974
37,0.0011450154
38,0.0011360527
39,0.0011332883
40,0.0011308705
41,0.0011230439
42,0.001122663
