cluster,values
12,0.51672316
13,0.51853764
14,0.5213634
15,0.52334684
16,0.52518827
17,0.53106165
18,0.52059156
19,0.5224632
20,0.52769
21,0.53465194
22,0.5194033
23,0.5216937
24,0.5267201
25,0.5332793
26,0.52225685
27,0.5247876
28,0.52865785
29,0.53223556
30,0.53748155
31,0.5127939
32,0.51443416
33,0.5166434
34,0.51888025
35,0.5239884
36,0.5142655
37,0.52910054
38,0.5428467
39,0.5542399
40,0.5636738
41,0.5833201
42,0.5883947
43,0.53257495
44,0.54683673
45,0.5444933
46,0.55359733
47,0.5630011
48,0.5702916
49,0.57497257
50,0.57856625
51,0.5812781
52,0.5834475
53,0.58537054
54,0.58686274
55,0.5899645
