cluster,values
1,0.6611813
2,0.6626694
3,0.6625568
4,0.6636032
5,0.66430587
6,0.6651936
7,0.6660147
8,0.666748
9,0.6673854
10,0.6679162
11,0.668078
12,0.5900082
13,0.59173113
14,0.5938423
15,0.5962795
16,0.5986098
17,0.6004165
18,0.7102467
19,0.7114359
20,0.71227545
21,0.7128016
22,0.70452905
23,0.70584106
24,0.7066707
25,0.707185
31,0.68843526
32,0.68979144
33,0.690919
34,0.69200516
35,0.69246566
36,0.64909875
37,0.6556107
38,0.6588168
39,0.6598398
40,0.6593289
41,0.6542358
42,0.6518148
43,0.6422039
44,0.6511207
45,0.6602139
46,0.6605489
47,0.66258854
48,0.66143394
49,0.6601317
50,0.65857905
51,0.6568359
52,0.65503114
53,0.6531428
54,0.6512862
55,0.64914143
