cluster,values
1,0.0030212065
2,0.0029165053
3,0.0028453358
4,0.002798653
5,0.0027631917
6,0.0027371685
7,0.0027214899
8,0.0027126959
9,0.0027075345
10,0.0027044073
11,0.0027031205
12,0.002737343
13,0.002715223
14,0.002697047
15,0.0026901222
16,0.002692431
17,0.0026965442
18,0.9973508
19,0.9973309
20,0.9973283
21,0.99733514
22,0.99735546
23,0.99733657
24,0.99733317
25,0.9973417
26,0.99726486
27,0.99721766
28,0.99715424
29,0.9970861
30,0.996971
36,0.0033549948
37,0.002787269
38,0.0026985942
39,0.0026745345
40,0.0026696217
41,0.0027093545
42,0.0027057119
43,0.0029683528
44,0.002779052
45,0.00268465
46,0.0026743817
47,0.0026603811
48,0.0026542977
49,0.0026510288
50,0.0026484807
51,0.0026485415
52,0.0026514966
53,0.0026540917
54,0.002656381
55,0.0026640606
