cluster,values
1,0.8953317
2,0.8964047
3,0.89691365
4,0.89730585
5,0.8976028
6,0.8980735
7,0.8990566
8,0.8998727
9,0.9007883
10,0.9017213
11,0.9025222
12,0.89105517
13,0.8926539
14,0.8935091
15,0.8949544
16,0.89742756
17,0.8999904
18,0.89579797
19,0.89551693
20,0.89674324
21,0.8999235
22,0.86820185
23,0.87450325
24,0.88147813
25,0.8885181
26,0.89508396
27,0.8951651
28,0.8952922
29,0.8978961
30,0.9003984
31,0.89476
32,0.8952012
33,0.8951584
34,0.89771605
35,0.900377
43,0.89238906
44,0.9021913
45,0.8987273
46,0.9011713
47,0.901497
48,0.9019929
49,0.9021607
50,0.9021457
51,0.9023354
52,0.9029441
53,0.90352345
54,0.9043421
55,0.9047749
