cluster,values
1,0.9996551
2,0.9996549
3,0.999655
4,0.99965465
5,0.9996542
6,0.99965346
7,0.99965227
8,0.9996505
9,0.99964774
10,0.99964356
11,0.9996371
12,0.99965584
13,0.9996561
14,0.9996563
15,0.9996562
16,0.9996555
17,0.99965465
18,0.00031725765
19,0.0003173027
20,0.00031693114
21,0.00031603774
22,0.00031497143
23,0.00031546186
24,0.00031555063
25,0.0003149315
26,0.0003198622
27,0.00031897088
28,0.0003184947
29,0.0003175651
30,0.00031664726
31,0.00031648186
32,0.00031653227
33,0.0003166439
34,0.00031606786
35,0.00031546428
36,0.00032810596
37,0.00031786071
38,0.00031619085
39,0.00031568212
40,0.00031521748
41,0.000313658
42,0.00031358746
