"Step","train-BERT8 - best_test_qwk_high","train-BERT8 - best_test_qwk_high__MIN","train-BERT8 - best_test_qwk_high__MAX","train-BERT7 - best_test_qwk_high","train-BERT7 - best_test_qwk_high__MIN","train-BERT7 - best_test_qwk_high__MAX","train-BERT6 - best_test_qwk_high","train-BERT6 - best_test_qwk_high__MIN","train-BERT6 - best_test_qwk_high__MAX","train-BERT5 - best_test_qwk_high","train-BERT5 - best_test_qwk_high__MIN","train-BERT5 - best_test_qwk_high__MAX","train-BERT4 - best_test_qwk_high","train-BERT4 - best_test_qwk_high__MIN","train-BERT4 - best_test_qwk_high__MAX","train-BERT3 - best_test_qwk_high","train-BERT3 - best_test_qwk_high__MIN","train-BERT3 - best_test_qwk_high__MAX","train-BERT2 - best_test_qwk_high","train-BERT2 - best_test_qwk_high__MIN","train-BERT2 - best_test_qwk_high__MAX","train-BERT1 - best_test_qwk_high","train-BERT1 - best_test_qwk_high__MIN","train-BERT1 - best_test_qwk_high__MAX"
"0","0.4471775864388981","0.4471775864388981","0.4471775864388981","0.5864173589854493","0.5864173589854493","0.5864173589854493","0.6360096869608409","0.6360096869608409","0.6360096869608409","0.6498182609274405","0.6498182609274405","0.6498182609274405","0.5907721021558014","0.5907721021558014","0.5907721021558014","0.581114210139291","0.581114210139291","0.581114210139291","0.5269407478711112","0.5269407478711112","0.5269407478711112","0.416293751713845","0.416293751713845","0.416293751713845"
"1","0.4566041036205928","0.4566041036205928","0.4566041036205928","0.572102116007128","0.572102116007128","0.572102116007128","0.628149795758124","0.628149795758124","0.628149795758124","0.6783388627012696","0.6783388627012696","0.6783388627012696","0.5746501922088996","0.5746501922088996","0.5746501922088996","0.6237104869781785","0.6237104869781785","0.6237104869781785","0.5402556211687003","0.5402556211687003","0.5402556211687003","0.5323256795550075","0.5323256795550075","0.5323256795550075"
"2","0.47046611035643465","0.47046611035643465","0.47046611035643465","0.6372358311623579","0.6372358311623579","0.6372358311623579","0.6660797797335725","0.6660797797335725","0.6660797797335725","0.7415308217016499","0.7415308217016499","0.7415308217016499","0.5912389922554477","0.5912389922554477","0.5912389922554477","0.6024818400734673","0.6024818400734673","0.6024818400734673","0.5402109785453822","0.5402109785453822","0.5402109785453822","0.5226058867186631","0.5226058867186631","0.5226058867186631"
"3","0.47147029056175727","0.47147029056175727","0.47147029056175727","0.5375948263487458","0.5375948263487458","0.5375948263487458","0.6514872425539131","0.6514872425539131","0.6514872425539131","0.7392302085626865","0.7392302085626865","0.7392302085626865","0.625666266816288","0.625666266816288","0.625666266816288","0.6274123665570859","0.6274123665570859","0.6274123665570859","0.45511302938567755","0.45511302938567755","0.45511302938567755","0.516438437966173","0.516438437966173","0.516438437966173"
"4","0.3981761581249318","0.3981761581249318","0.3981761581249318","0.5178264589710904","0.5178264589710904","0.5178264589710904","0.6435225489752745","0.6435225489752745","0.6435225489752745","0.7091615650429905","0.7091615650429905","0.7091615650429905","0.6261368243046125","0.6261368243046125","0.6261368243046125","0.5405590078505089","0.5405590078505089","0.5405590078505089","0.5070083249845895","0.5070083249845895","0.5070083249845895","0.46580303431816705","0.46580303431816705","0.46580303431816705"
"5","0.4772654084652389","0.4772654084652389","0.4772654084652389","0.5630047150599864","0.5630047150599864","0.5630047150599864","0.6290513226766913","0.6290513226766913","0.6290513226766913","0.6999555040436742","0.6999555040436742","0.6999555040436742","0.6333423733694934","0.6333423733694934","0.6333423733694934","0.5884429133567561","0.5884429133567561","0.5884429133567561","0.4646280026614885","0.4646280026614885","0.4646280026614885","0.38515054257935033","0.38515054257935033","0.38515054257935033"
"6","0.3054526490655678","0.3054526490655678","0.3054526490655678","0.47355932984119287","0.47355932984119287","0.47355932984119287","0.603260760648884","0.603260760648884","0.603260760648884","0.7066709337598277","0.7066709337598277","0.7066709337598277","0.6443244777225138","0.6443244777225138","0.6443244777225138","0.5474130776003177","0.5474130776003177","0.5474130776003177","0.44351731512262815","0.44351731512262815","0.44351731512262815","0.30811164645918254","0.30811164645918254","0.30811164645918254"
"7","0.25661372918590697","0.25661372918590697","0.25661372918590697","0.4814379575725736","0.4814379575725736","0.4814379575725736","0.544002989587403","0.544002989587403","0.544002989587403","0.644635067550138","0.644635067550138","0.644635067550138","0.6379140265388581","0.6379140265388581","0.6379140265388581","0.5912605931192974","0.5912605931192974","0.5912605931192974","0.5467670751915473","0.5467670751915473","0.5467670751915473","0.11293830127884075","0.11293830127884075","0.11293830127884075"
"8","0.03025348854007026","0.03025348854007026","0.03025348854007026","0.21232516341749774","0.21232516341749774","0.21232516341749774","0.46107645157917865","0.46107645157917865","0.46107645157917865","0.4990907238453346","0.4990907238453346","0.4990907238453346","0.6560643436123319","0.6560643436123319","0.6560643436123319","0.4516084101068294","0.4516084101068294","0.4516084101068294","0.4332725115527539","0.4332725115527539","0.4332725115527539","0.05866386921135813","0.05866386921135813","0.05866386921135813"
"9","0.00860809665608464","0.00860809665608464","0.00860809665608464","0.060602499889840344","0.060602499889840344","0.060602499889840344","0.4570643299291871","0.4570643299291871","0.4570643299291871","0","0","0","0.5927742268081285","0.5927742268081285","0.5927742268081285","0.392267059434662","0.392267059434662","0.392267059434662","0.24573593721066056","0.24573593721066056","0.24573593721066056","0.07142769581205877","0.07142769581205877","0.07142769581205877"
