"Step","train-MLP8 - QWK[High]","train-MLP8 - QWK[High]__MIN","train-MLP8 - QWK[High]__MAX","train-MLP7 - QWK[High]","train-MLP7 - QWK[High]__MIN","train-MLP7 - QWK[High]__MAX","train-MLP6 - QWK[High]","train-MLP6 - QWK[High]__MIN","train-MLP6 - QWK[High]__MAX","train-MLP5 - QWK[High]","train-MLP5 - QWK[High]__MIN","train-MLP5 - QWK[High]__MAX","train-MLP4 - QWK[High]","train-MLP4 - QWK[High]__MIN","train-MLP4 - QWK[High]__MAX","train-MLP3 - QWK[High]","train-MLP3 - QWK[High]__MIN","train-MLP3 - QWK[High]__MAX","train-MLP2 - QWK[High]","train-MLP2 - QWK[High]__MIN","train-MLP2 - QWK[High]__MAX","train-MLP1 - QWK[High]","train-MLP1 - QWK[High]__MIN","train-MLP1 - QWK[High]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.39478713969484724","0.39478713969484724","0.39478713969484724","0.5919725932509241","0.5919725932509241","0.5919725932509241","0.45131022644873287","0.45131022644873287","0.45131022644873287","0.6012556035822811","0.6012556035822811","0.6012556035822811","0.5548149272680487","0.5548149272680487","0.5548149272680487","0.48201235360095207","0.48201235360095207","0.48201235360095207","0.6211435413698007","0.6211435413698007","0.6211435413698007","0.7170610676194167","0.7170610676194167","0.7170610676194167"
"2","0.4316160639627368","0.4316160639627368","0.4316160639627368","0.5421127403286861","0.5421127403286861","0.5421127403286861","0.43126864091892914","0.43126864091892914","0.43126864091892914","0.4863993497697101","0.4863993497697101","0.4863993497697101","0.5447813686008672","0.5447813686008672","0.5447813686008672","0.44179649622311745","0.44179649622311745","0.44179649622311745","0.6157849347250721","0.6157849347250721","0.6157849347250721","0.6667154124420328","0.6667154124420328","0.6667154124420328"
"3","0.48022709705948186","0.48022709705948186","0.48022709705948186","0.45825196967004467","0.45825196967004467","0.45825196967004467","0.4020571056057335","0.4020571056057335","0.4020571056057335","0.4355646872428214","0.4355646872428214","0.4355646872428214","0.5257549621284874","0.5257549621284874","0.5257549621284874","0.4371788588798057","0.4371788588798057","0.4371788588798057","0.6064917287465208","0.6064917287465208","0.6064917287465208","0.5875629537363039","0.5875629537363039","0.5875629537363039"
"4","0.49508359123873447","0.49508359123873447","0.49508359123873447","0.4068792255013648","0.4068792255013648","0.4068792255013648","0.36929412947566187","0.36929412947566187","0.36929412947566187","0.3801607250327469","0.3801607250327469","0.3801607250327469","0.48781238031766516","0.48781238031766516","0.48781238031766516","0.47023284367653073","0.47023284367653073","0.47023284367653073","0.6081837428505417","0.6081837428505417","0.6081837428505417","0.5213092639804806","0.5213092639804806","0.5213092639804806"
"5","0.5152124500967656","0.5152124500967656","0.5152124500967656","0.35460493515360514","0.35460493515360514","0.35460493515360514","0.36897780814371883","0.36897780814371883","0.36897780814371883","0.2787249305206547","0.2787249305206547","0.2787249305206547","0.4531028662982608","0.4531028662982608","0.4531028662982608","0.5069469614594659","0.5069469614594659","0.5069469614594659","0.5929669875896988","0.5929669875896988","0.5929669875896988","0.4782275728219727","0.4782275728219727","0.4782275728219727"
"6","0.5363970858053678","0.5363970858053678","0.5363970858053678","0.31708678035015403","0.31708678035015403","0.31708678035015403","0.348040530203261","0.348040530203261","0.348040530203261","0.20370082054653127","0.20370082054653127","0.20370082054653127","0.4269858899495179","0.4269858899495179","0.4269858899495179","0.5019546874356566","0.5019546874356566","0.5019546874356566","0.5686119429579772","0.5686119429579772","0.5686119429579772","0.426583791059463","0.426583791059463","0.426583791059463"
"7","0.5608258811163842","0.5608258811163842","0.5608258811163842","0.2888052496942676","0.2888052496942676","0.2888052496942676","0.3214561580761355","0.3214561580761355","0.3214561580761355","0.1276196261424194","0.1276196261424194","0.1276196261424194","0.384116067130441","0.384116067130441","0.384116067130441","0.4549982904975646","0.4549982904975646","0.4549982904975646","0.5051005949179062","0.5051005949179062","0.5051005949179062","0.35052822814392715","0.35052822814392715","0.35052822814392715"
"8","0.5899453783028756","0.5899453783028756","0.5899453783028756","0.26015215922940593","0.26015215922940593","0.26015215922940593","0.2665357482758788","0.2665357482758788","0.2665357482758788","0.019407431504691486","0.019407431504691486","0.019407431504691486","0.2866357684918791","0.2866357684918791","0.2866357684918791","0.36970966136376204","0.36970966136376204","0.36970966136376204","0.32761252512566097","0.32761252512566097","0.32761252512566097","0.2614811771978218","0.2614811771978218","0.2614811771978218"
"9","0.27570287370534496","0.27570287370534496","0.27570287370534496","0.20878928100858707","0.20878928100858707","0.20878928100858707","0.17766230540622396","0.17766230540622396","0.17766230540622396","-0.00605771090622409","-0.00605771090622409","-0.00605771090622409","0.07946360100574823","0.07946360100574823","0.07946360100574823","0.22899087267724194","0.22899087267724194","0.22899087267724194","0.10576590029172017","0.10576590029172017","0.10576590029172017","0.11394754240013727","0.11394754240013727","0.11394754240013727"
