"Step","train-MLP8 - QWK[Low]","train-MLP8 - QWK[Low]__MIN","train-MLP8 - QWK[Low]__MAX","train-MLP7 - QWK[Low]","train-MLP7 - QWK[Low]__MIN","train-MLP7 - QWK[Low]__MAX","train-MLP6 - QWK[Low]","train-MLP6 - QWK[Low]__MIN","train-MLP6 - QWK[Low]__MAX","train-MLP5 - QWK[Low]","train-MLP5 - QWK[Low]__MIN","train-MLP5 - QWK[Low]__MAX","train-MLP4 - QWK[Low]","train-MLP4 - QWK[Low]__MIN","train-MLP4 - QWK[Low]__MAX","train-MLP3 - QWK[Low]","train-MLP3 - QWK[Low]__MIN","train-MLP3 - QWK[Low]__MAX","train-MLP2 - QWK[Low]","train-MLP2 - QWK[Low]__MIN","train-MLP2 - QWK[Low]__MAX","train-MLP1 - QWK[Low]","train-MLP1 - QWK[Low]__MIN","train-MLP1 - QWK[Low]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.30826280202261525","0.30826280202261525","0.30826280202261525","0.6842611860493413","0.6842611860493413","0.6842611860493413","0.5802332773080829","0.5802332773080829","0.5802332773080829","0.745641103475192","0.745641103475192","0.745641103475192","0.5850462197273473","0.5850462197273473","0.5850462197273473","0.5491383654068511","0.5491383654068511","0.5491383654068511","0.6052869554743571","0.6052869554743571","0.6052869554743571","0.8052636714414902","0.8052636714414902","0.8052636714414902"
"2","0.2899704779418284","0.2899704779418284","0.2899704779418284","0.7031776746347806","0.7031776746347806","0.7031776746347806","0.5888059775868967","0.5888059775868967","0.5888059775868967","0.7586191011442996","0.7586191011442996","0.7586191011442996","0.5615733414583891","0.5615733414583891","0.5615733414583891","0.5406360282936562","0.5406360282936562","0.5406360282936562","0.530714281517715","0.530714281517715","0.530714281517715","0.7994177144448926","0.7994177144448926","0.7994177144448926"
"3","0.2792190309220862","0.2792190309220862","0.2792190309220862","0.7025946826490695","0.7025946826490695","0.7025946826490695","0.5695157036388836","0.5695157036388836","0.5695157036388836","0.7669464806154409","0.7669464806154409","0.7669464806154409","0.5071498343695506","0.5071498343695506","0.5071498343695506","0.5132225846873592","0.5132225846873592","0.5132225846873592","0.4709874602487657","0.4709874602487657","0.4709874602487657","0.781571836092791","0.781571836092791","0.781571836092791"
"4","0.27515875601079764","0.27515875601079764","0.27515875601079764","0.6781372382361441","0.6781372382361441","0.6781372382361441","0.5380707294640795","0.5380707294640795","0.5380707294640795","0.7662574526012912","0.7662574526012912","0.7662574526012912","0.45136313526412875","0.45136313526412875","0.45136313526412875","0.4685469334585497","0.4685469334585497","0.4685469334585497","0.4262570500273406","0.4262570500273406","0.4262570500273406","0.7581316286139659","0.7581316286139659","0.7581316286139659"
"5","0.274716367621183","0.274716367621183","0.274716367621183","0.625331531096652","0.625331531096652","0.625331531096652","0.4858917825759339","0.4858917825759339","0.4858917825759339","0.7608230019947606","0.7608230019947606","0.7608230019947606","0.35589090824960623","0.35589090824960623","0.35589090824960623","0.400156053708987","0.400156053708987","0.400156053708987","0.35492876437851095","0.35492876437851095","0.35492876437851095","0.7264114676802362","0.7264114676802362","0.7264114676802362"
"6","0.27683882398245196","0.27683882398245196","0.27683882398245196","0.5100468514667813","0.5100468514667813","0.5100468514667813","0.4206689214975535","0.4206689214975535","0.4206689214975535","0.7562378123134322","0.7562378123134322","0.7562378123134322","0.2746109958185935","0.2746109958185935","0.2746109958185935","0.3309364993121625","0.3309364993121625","0.3309364993121625","0.2639839862515262","0.2639839862515262","0.2639839862515262","0.6668435561126653","0.6668435561126653","0.6668435561126653"
"7","0.2810541830537503","0.2810541830537503","0.2810541830537503","0.3164815303598696","0.3164815303598696","0.3164815303598696","0.3142570851329308","0.3142570851329308","0.3142570851329308","0.7439311094092294","0.7439311094092294","0.7439311094092294","0.26578495822172155","0.26578495822172155","0.26578495822172155","0.24699835255354197","0.24699835255354197","0.24699835255354197","0.1564447892826728","0.1564447892826728","0.1564447892826728","0.5336435552618239","0.5336435552618239","0.5336435552618239"
"8","0.30496334314115603","0.30496334314115603","0.30496334314115603","0.12186732426257207","0.12186732426257207","0.12186732426257207","0.12443622305821722","0.12443622305821722","0.12443622305821722","0.7364094404667197","0.7364094404667197","0.7364094404667197","0.27788415006207","0.27788415006207","0.27788415006207","0.11941894156932553","0.11941894156932553","0.11941894156932553","0.052027849247536895","0.052027849247536895","0.052027849247536895","0.2334368899400835","0.2334368899400835","0.2334368899400835"
"9","0.3842505396244822","0.3842505396244822","0.3842505396244822","0.03176489078424416","0.03176489078424416","0.03176489078424416","0.1331041099061684","0.1331041099061684","0.1331041099061684","0.65784579680309","0.65784579680309","0.65784579680309","0.004004265019866393","0.004004265019866393","0.004004265019866393","0.0033620208726692358","0.0033620208726692358","0.0033620208726692358","0.04989394604484099","0.04989394604484099","0.04989394604484099","0.036781926665244824","0.036781926665244824","0.036781926665244824"
