"Step","train-PAES8 - best_test_qwk_high","train-PAES8 - best_test_qwk_high__MIN","train-PAES8 - best_test_qwk_high__MAX","train-PAES7 - best_test_qwk_high","train-PAES7 - best_test_qwk_high__MIN","train-PAES7 - best_test_qwk_high__MAX","train-PAES6 - best_test_qwk_high","train-PAES6 - best_test_qwk_high__MIN","train-PAES6 - best_test_qwk_high__MAX","train-PAES5 - best_test_qwk_high","train-PAES5 - best_test_qwk_high__MIN","train-PAES5 - best_test_qwk_high__MAX","train-PAES4 - best_test_qwk_high","train-PAES4 - best_test_qwk_high__MIN","train-PAES4 - best_test_qwk_high__MAX","train-PAES3 - best_test_qwk_high","train-PAES3 - best_test_qwk_high__MIN","train-PAES3 - best_test_qwk_high__MAX","train-PAES2 - best_test_qwk_high","train-PAES2 - best_test_qwk_high__MIN","train-PAES2 - best_test_qwk_high__MAX","train-PAES1 - best_test_qwk_high","train-PAES1 - best_test_qwk_high__MIN","train-PAES1 - best_test_qwk_high__MAX"
"0","0.565548869873745","0.565548869873745","0.565548869873745","0.7360180331048582","0.7360180331048582","0.7360180331048582","0.6039037969766614","0.6039037969766614","0.6039037969766614","0.6974153266801763","0.6974153266801763","0.6974153266801763","0.5918886814865094","0.5918886814865094","0.5918886814865094","0.6132854773331993","0.6132854773331993","0.6132854773331993","0.6268733623496652","0.6268733623496652","0.6268733623496652","0.716010410571465","0.716010410571465","0.716010410571465"
"1","0.5833438285940861","0.5833438285940861","0.5833438285940861","0.7204822375413688","0.7204822375413688","0.7204822375413688","0.4735936992549503","0.4735936992549503","0.4735936992549503","0.6433952787543948","0.6433952787543948","0.6433952787543948","0.5570105831678347","0.5570105831678347","0.5570105831678347","0.6149760168210788","0.6149760168210788","0.6149760168210788","0.6494029486472561","0.6494029486472561","0.6494029486472561","0.6207772397352791","0.6207772397352791","0.6207772397352791"
"2","0.5985919873563391","0.5985919873563391","0.5985919873563391","0.6099439065081521","0.6099439065081521","0.6099439065081521","0.5157598206327866","0.5157598206327866","0.5157598206327866","0.6111335026296985","0.6111335026296985","0.6111335026296985","0.5456563092651654","0.5456563092651654","0.5456563092651654","0.5450602028621507","0.5450602028621507","0.5450602028621507","0.6389238375620361","0.6389238375620361","0.6389238375620361","0.6854717929832617","0.6854717929832617","0.6854717929832617"
"3","0.6206655641065711","0.6206655641065711","0.6206655641065711","0.6794316155248388","0.6794316155248388","0.6794316155248388","0.5039553826589507","0.5039553826589507","0.5039553826589507","0.5281090333031284","0.5281090333031284","0.5281090333031284","0.5009257509918761","0.5009257509918761","0.5009257509918761","0.5965442896992859","0.5965442896992859","0.5965442896992859","0.6348822302671373","0.6348822302671373","0.6348822302671373","0.6391527281535996","0.6391527281535996","0.6391527281535996"
"4","0.5741985602521096","0.5741985602521096","0.5741985602521096","0.5784272678646403","0.5784272678646403","0.5784272678646403","0.43105839768845644","0.43105839768845644","0.43105839768845644","0.3920377685190196","0.3920377685190196","0.3920377685190196","0.49804687162664363","0.49804687162664363","0.49804687162664363","0.5347061910118056","0.5347061910118056","0.5347061910118056","0.6397508607608121","0.6397508607608121","0.6397508607608121","0.5650859076680033","0.5650859076680033","0.5650859076680033"
"5","0.6369795820423605","0.6369795820423605","0.6369795820423605","0.6584146847191628","0.6584146847191628","0.6584146847191628","0.3850386350804408","0.3850386350804408","0.3850386350804408","0.3527560878818563","0.3527560878818563","0.3527560878818563","0.47242825186148474","0.47242825186148474","0.47242825186148474","0.5252569380230226","0.5252569380230226","0.5252569380230226","0.6246199189957966","0.6246199189957966","0.6246199189957966","0.5266084246592424","0.5266084246592424","0.5266084246592424"
"6","0.46013515027142565","0.46013515027142565","0.46013515027142565","0.5414566391884528","0.5414566391884528","0.5414566391884528","0.43670967455084453","0.43670967455084453","0.43670967455084453","0.2859747699022944","0.2859747699022944","0.2859747699022944","0.18128625697329712","0.18128625697329712","0.18128625697329712","0.4968193289535113","0.4968193289535113","0.4968193289535113","0.638015568834911","0.638015568834911","0.638015568834911","0.5335545172278378","0.5335545172278378","0.5335545172278378"
"7","0.5094691050697673","0.5094691050697673","0.5094691050697673","0.5226173900891122","0.5226173900891122","0.5226173900891122","0.36255733783477095","0.36255733783477095","0.36255733783477095","0.31955681199434605","0.31955681199434605","0.31955681199434605","0.36050867572911693","0.36050867572911693","0.36050867572911693","0.513512406007335","0.513512406007335","0.513512406007335","0.6266442794146372","0.6266442794146372","0.6266442794146372","0.4079587800557298","0.4079587800557298","0.4079587800557298"
"8","0.525378144252018","0.525378144252018","0.525378144252018","0.5569273307033262","0.5569273307033262","0.5569273307033262","0.31503225950286706","0.31503225950286706","0.31503225950286706","0.1216005798053349","0.1216005798053349","0.1216005798053349","0.5230702254493451","0.5230702254493451","0.5230702254493451","0.4595306113348891","0.4595306113348891","0.4595306113348891","0.5970553916300192","0.5970553916300192","0.5970553916300192","0.39933965506859825","0.39933965506859825","0.39933965506859825"
"9","0.2992338308492256","0.2992338308492256","0.2992338308492256","0.5573204767927601","0.5573204767927601","0.5573204767927601","0.24181582752298136","0.24181582752298136","0.24181582752298136","0","0","0","0.32507440096553153","0.32507440096553153","0.32507440096553153","0.4409087992961296","0.4409087992961296","0.4409087992961296","0.47943931013527863","0.47943931013527863","0.47943931013527863","0.30411389218117335","0.30411389218117335","0.30411389218117335"
