"Step","train-PAES8 - best_test_qwk_low","train-PAES8 - best_test_qwk_low__MIN","train-PAES8 - best_test_qwk_low__MAX","train-PAES7 - best_test_qwk_low","train-PAES7 - best_test_qwk_low__MIN","train-PAES7 - best_test_qwk_low__MAX","train-PAES6 - best_test_qwk_low","train-PAES6 - best_test_qwk_low__MIN","train-PAES6 - best_test_qwk_low__MAX","train-PAES5 - best_test_qwk_low","train-PAES5 - best_test_qwk_low__MIN","train-PAES5 - best_test_qwk_low__MAX","train-PAES4 - best_test_qwk_low","train-PAES4 - best_test_qwk_low__MIN","train-PAES4 - best_test_qwk_low__MAX","train-PAES3 - best_test_qwk_low","train-PAES3 - best_test_qwk_low__MIN","train-PAES3 - best_test_qwk_low__MAX","train-PAES2 - best_test_qwk_low","train-PAES2 - best_test_qwk_low__MIN","train-PAES2 - best_test_qwk_low__MAX","train-PAES1 - best_test_qwk_low","train-PAES1 - best_test_qwk_low__MIN","train-PAES1 - best_test_qwk_low__MAX"
"0","0.565548869873745","0.565548869873745","0.565548869873745","0.7360180331048582","0.7360180331048582","0.7360180331048582","0.6039037969766614","0.6039037969766614","0.6039037969766614","0.6974153266801763","0.6974153266801763","0.6974153266801763","0.5918886814865094","0.5918886814865094","0.5918886814865094","0.6132854773331993","0.6132854773331993","0.6132854773331993","0.6268733623496652","0.6268733623496652","0.6268733623496652","0.716010410571465","0.716010410571465","0.716010410571465"
"1","0.3679123255843867","0.3679123255843867","0.3679123255843867","0.7266096754175707","0.7266096754175707","0.7266096754175707","0.5552094415148059","0.5552094415148059","0.5552094415148059","0.7552832271858708","0.7552832271858708","0.7552832271858708","0.6169287426895366","0.6169287426895366","0.6169287426895366","0.5604454217204531","0.5604454217204531","0.5604454217204531","0.629346314325452","0.629346314325452","0.629346314325452","0.8016928719398284","0.8016928719398284","0.8016928719398284"
"2","0.4395417875618322","0.4395417875618322","0.4395417875618322","0.725373324645345","0.725373324645345","0.725373324645345","0.6046043918528485","0.6046043918528485","0.6046043918528485","0.7329912797750724","0.7329912797750724","0.7329912797750724","0.6134543840744741","0.6134543840744741","0.6134543840744741","0.5641019402788616","0.5641019402788616","0.5641019402788616","0.6007767691821343","0.6007767691821343","0.6007767691821343","0.8053384620328569","0.8053384620328569","0.8053384620328569"
"3","0.2772229344666435","0.2772229344666435","0.2772229344666435","0.7140696997473314","0.7140696997473314","0.7140696997473314","0.5545461850190343","0.5545461850190343","0.5545461850190343","0.7555195016705082","0.7555195016705082","0.7555195016705082","0.6029501290277397","0.6029501290277397","0.6029501290277397","0.540988559241263","0.540988559241263","0.540988559241263","0.5140139247116458","0.5140139247116458","0.5140139247116458","0.7919684073064934","0.7919684073064934","0.7919684073064934"
"4","0.23971100390856973","0.23971100390856973","0.23971100390856973","0.6896159836469768","0.6896159836469768","0.6896159836469768","0.5421281759819092","0.5421281759819092","0.5421281759819092","0.7557806713313635","0.7557806713313635","0.7557806713313635","0.5241288227846026","0.5241288227846026","0.5241288227846026","0.4847557667686566","0.4847557667686566","0.4847557667686566","0.4803436910457364","0.4803436910457364","0.4803436910457364","0.7920932990709626","0.7920932990709626","0.7920932990709626"
"5","0.1951238706045334","0.1951238706045334","0.1951238706045334","0.6717332782379186","0.6717332782379186","0.6717332782379186","0.4795546841128562","0.4795546841128562","0.4795546841128562","0.7221055488839132","0.7221055488839132","0.7221055488839132","0.44488762834353945","0.44488762834353945","0.44488762834353945","0.465542620416979","0.465542620416979","0.465542620416979","0.45040529018745523","0.45040529018745523","0.45040529018745523","0.7933876955769646","0.7933876955769646","0.7933876955769646"
"6","0.10811732420204569","0.10811732420204569","0.10811732420204569","0.60234447326983","0.60234447326983","0.60234447326983","0.4107534095999327","0.4107534095999327","0.4107534095999327","0.7171183972495916","0.7171183972495916","0.7171183972495916","0.4095067018011006","0.4095067018011006","0.4095067018011006","0.4286055417488437","0.4286055417488437","0.4286055417488437","0.4603112935741629","0.4603112935741629","0.4603112935741629","0.7526618922674497","0.7526618922674497","0.7526618922674497"
"7","0.12892210826426553","0.12892210826426553","0.12892210826426553","0.5151416603980821","0.5151416603980821","0.5151416603980821","0.449490909323623","0.449490909323623","0.449490909323623","0.7378909554611285","0.7378909554611285","0.7378909554611285","0.40804857341619544","0.40804857341619544","0.40804857341619544","0.32510347721593846","0.32510347721593846","0.32510347721593846","0.3389521271103708","0.3389521271103708","0.3389521271103708","0.7353518593427537","0.7353518593427537","0.7353518593427537"
"8","0.3350332483588814","0.3350332483588814","0.3350332483588814","0.4179406494902088","0.4179406494902088","0.4179406494902088","0.35178450235711967","0.35178450235711967","0.35178450235711967","0.7040819243798239","0.7040819243798239","0.7040819243798239","0.331865471975918","0.331865471975918","0.331865471975918","0.2524334565865739","0.2524334565865739","0.2524334565865739","0.22514129253124637","0.22514129253124637","0.22514129253124637","0.7287132966691776","0.7287132966691776","0.7287132966691776"
"9","0.154205991795633","0.154205991795633","0.154205991795633","0.38179927938702957","0.38179927938702957","0.38179927938702957","0.21575325887161823","0.21575325887161823","0.21575325887161823","0.6127151007981336","0.6127151007981336","0.6127151007981336","0.03128455887250703","0.03128455887250703","0.03128455887250703","0.19062668711154618","0.19062668711154618","0.19062668711154618","0.1260646232420234","0.1260646232420234","0.1260646232420234","0.6144071477780833","0.6144071477780833","0.6144071477780833"
