"Step","train-MLP8 - QWK[High]","train-MLP8 - QWK[High]__MIN","train-MLP8 - QWK[High]__MAX","train-MLP7 - QWK[High]","train-MLP7 - QWK[High]__MIN","train-MLP7 - QWK[High]__MAX","train-MLP6 - QWK[High]","train-MLP6 - QWK[High]__MIN","train-MLP6 - QWK[High]__MAX","train-MLP5 - QWK[High]","train-MLP5 - QWK[High]__MIN","train-MLP5 - QWK[High]__MAX","train-MLP4 - QWK[High]","train-MLP4 - QWK[High]__MIN","train-MLP4 - QWK[High]__MAX","train-MLP3 - QWK[High]","train-MLP3 - QWK[High]__MIN","train-MLP3 - QWK[High]__MAX","train-MLP2 - QWK[High]","train-MLP2 - QWK[High]__MIN","train-MLP2 - QWK[High]__MAX","train-MLP1 - QWK[High]","train-MLP1 - QWK[High]__MIN","train-MLP1 - QWK[High]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.27365144388095375","0.27365144388095375","0.27365144388095375","0.6220318237020105","0.6220318237020105","0.6220318237020105","0.5707396835830585","0.5707396835830585","0.5707396835830585","0.7088834832857097","0.7088834832857097","0.7088834832857097","0.5733237127665392","0.5733237127665392","0.5733237127665392","0.5716873243498919","0.5716873243498919","0.5716873243498919","0.6350527044990733","0.6350527044990733","0.6350527044990733","0.7828908607660967","0.7828908607660967","0.7828908607660967"
"2","0.2364089825121135","0.2364089825121135","0.2364089825121135","0.6447385352178061","0.6447385352178061","0.6447385352178061","0.5856308603053839","0.5856308603053839","0.5856308603053839","0.7201660418059216","0.7201660418059216","0.7201660418059216","0.5769192788609099","0.5769192788609099","0.5769192788609099","0.581629893879952","0.581629893879952","0.581629893879952","0.616631430584919","0.616631430584919","0.616631430584919","0.7980872497040098","0.7980872497040098","0.7980872497040098"
"3","0.20438314941738633","0.20438314941738633","0.20438314941738633","0.6659189206603615","0.6659189206603615","0.6659189206603615","0.6081099441675668","0.6081099441675668","0.6081099441675668","0.7353517621171859","0.7353517621171859","0.7353517621171859","0.5843886597042294","0.5843886597042294","0.5843886597042294","0.5955889745529974","0.5955889745529974","0.5955889745529974","0.5886335700656242","0.5886335700656242","0.5886335700656242","0.794368808488394","0.794368808488394","0.794368808488394"
"4","0.2077045946904913","0.2077045946904913","0.2077045946904913","0.6974898939923933","0.6974898939923933","0.6974898939923933","0.6161164963196429","0.6161164963196429","0.6161164963196429","0.7372474839335517","0.7372474839335517","0.7372474839335517","0.5920219713969923","0.5920219713969923","0.5920219713969923","0.6025342466634176","0.6025342466634176","0.6025342466634176","0.552846946535593","0.552846946535593","0.552846946535593","0.7810453706668046","0.7810453706668046","0.7810453706668046"
"5","0.21211239296322493","0.21211239296322493","0.21211239296322493","0.7088590993400268","0.7088590993400268","0.7088590993400268","0.617450217153823","0.617450217153823","0.617450217153823","0.7288790621617265","0.7288790621617265","0.7288790621617265","0.5912560496313379","0.5912560496313379","0.5912560496313379","0.5975282157400639","0.5975282157400639","0.5975282157400639","0.49479228451446067","0.49479228451446067","0.49479228451446067","0.7714466131344835","0.7714466131344835","0.7714466131344835"
"6","0.2131298204912797","0.2131298204912797","0.2131298204912797","0.7002915272396756","0.7002915272396756","0.7002915272396756","0.5995962703066423","0.5995962703066423","0.5995962703066423","0.7256223600251641","0.7256223600251641","0.7256223600251641","0.5664859685500254","0.5664859685500254","0.5664859685500254","0.6008454016401983","0.6008454016401983","0.6008454016401983","0.42704005978829995","0.42704005978829995","0.42704005978829995","0.7478495584240874","0.7478495584240874","0.7478495584240874"
"7","0.20189016500162793","0.20189016500162793","0.20189016500162793","0.6766426175268241","0.6766426175268241","0.6766426175268241","0.5978493096748791","0.5978493096748791","0.5978493096748791","0.696498733799017","0.696498733799017","0.696498733799017","0.4351693571651658","0.4351693571651658","0.4351693571651658","0.6023408309117946","0.6023408309117946","0.6023408309117946","0.38096046317583565","0.38096046317583565","0.38096046317583565","0.701247527362822","0.701247527362822","0.701247527362822"
"8","0.2047849450095638","0.2047849450095638","0.2047849450095638","0.5887369632664953","0.5887369632664953","0.5887369632664953","0.5615732273586097","0.5615732273586097","0.5615732273586097","0.6925493092154165","0.6925493092154165","0.6925493092154165","0.18744572110562407","0.18744572110562407","0.18744572110562407","0.5819195911258976","0.5819195911258976","0.5819195911258976","0.3077307110711396","0.3077307110711396","0.3077307110711396","0.667937628705938","0.667937628705938","0.667937628705938"
"9","0.22567136234264673","0.22567136234264673","0.22567136234264673","0.027092702307913052","0.027092702307913052","0.027092702307913052","0.4707805013942944","0.4707805013942944","0.4707805013942944","0.6487574307670001","0.6487574307670001","0.6487574307670001","0.05069068487877115","0.05069068487877115","0.05069068487877115","0.4687914872054725","0.4687914872054725","0.4687914872054725","0.02068190065445008","0.02068190065445008","0.02068190065445008","0.0327494452020477","0.0327494452020477","0.0327494452020477"
