"Step","train-MLP8 - QWK[Low]","train-MLP8 - QWK[Low]__MIN","train-MLP8 - QWK[Low]__MAX","train-MLP7 - QWK[Low]","train-MLP7 - QWK[Low]__MIN","train-MLP7 - QWK[Low]__MAX","train-MLP6 - QWK[Low]","train-MLP6 - QWK[Low]__MIN","train-MLP6 - QWK[Low]__MAX","train-MLP5 - QWK[Low]","train-MLP5 - QWK[Low]__MIN","train-MLP5 - QWK[Low]__MAX","train-MLP4 - QWK[Low]","train-MLP4 - QWK[Low]__MIN","train-MLP4 - QWK[Low]__MAX","train-MLP3 - QWK[Low]","train-MLP3 - QWK[Low]__MIN","train-MLP3 - QWK[Low]__MAX","train-MLP2 - QWK[Low]","train-MLP2 - QWK[Low]__MIN","train-MLP2 - QWK[Low]__MAX","train-MLP1 - QWK[Low]","train-MLP1 - QWK[Low]__MIN","train-MLP1 - QWK[Low]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.3550009993758284","0.3550009993758284","0.3550009993758284","0.6167495200614904","0.6167495200614904","0.6167495200614904","0.48048502910293023","0.48048502910293023","0.48048502910293023","0.6384830426153005","0.6384830426153005","0.6384830426153005","0.5528140697318543","0.5528140697318543","0.5528140697318543","0.49270743935520833","0.49270743935520833","0.49270743935520833","0.6159156182200294","0.6159156182200294","0.6159156182200294","0.7019336552597923","0.7019336552597923","0.7019336552597923"
"2","0.3448868904870911","0.3448868904870911","0.3448868904870911","0.6457292488558868","0.6457292488558868","0.6457292488558868","0.400458206256492","0.400458206256492","0.400458206256492","0.5921068037740558","0.5921068037740558","0.5921068037740558","0.5543241629297503","0.5543241629297503","0.5543241629297503","0.38010390778499903","0.38010390778499903","0.38010390778499903","0.5983269514294052","0.5983269514294052","0.5983269514294052","0.6449037108915492","0.6449037108915492","0.6449037108915492"
"3","0.3359277688313099","0.3359277688313099","0.3359277688313099","0.5955824226370272","0.5955824226370272","0.5955824226370272","0.38074274090636906","0.38074274090636906","0.38074274090636906","0.5866696337387891","0.5866696337387891","0.5866696337387891","0.5536996874004779","0.5536996874004779","0.5536996874004779","0.16308026582177992","0.16308026582177992","0.16308026582177992","0.581858483465339","0.581858483465339","0.581858483465339","0.5916327287378685","0.5916327287378685","0.5916327287378685"
"4","0.34966339935176705","0.34966339935176705","0.34966339935176705","0.5648702154066955","0.5648702154066955","0.5648702154066955","0.29952118674490824","0.29952118674490824","0.29952118674490824","0.5713695322165018","0.5713695322165018","0.5713695322165018","0.5454804019747674","0.5454804019747674","0.5454804019747674","0.11992762460413631","0.11992762460413631","0.11992762460413631","0.5463659540304822","0.5463659540304822","0.5463659540304822","0.520759285522036","0.520759285522036","0.520759285522036"
"5","0.3752412885964821","0.3752412885964821","0.3752412885964821","0.487955851152966","0.487955851152966","0.487955851152966","0.2736322196186899","0.2736322196186899","0.2736322196186899","0.5533151447007277","0.5533151447007277","0.5533151447007277","0.5247187512513725","0.5247187512513725","0.5247187512513725","0.10399260469179028","0.10399260469179028","0.10399260469179028","0.46493645723985433","0.46493645723985433","0.46493645723985433","0.4719232710655902","0.4719232710655902","0.4719232710655902"
"6","0.4217255219328657","0.4217255219328657","0.4217255219328657","0.42282987554776097","0.42282987554776097","0.42282987554776097","0.2234112497075359","0.2234112497075359","0.2234112497075359","0.5305181205231282","0.5305181205231282","0.5305181205231282","0.5141045428342972","0.5141045428342972","0.5141045428342972","0.07175674613323202","0.07175674613323202","0.07175674613323202","0.38677560435811154","0.38677560435811154","0.38677560435811154","0.385140024853429","0.385140024853429","0.385140024853429"
"7","0.49444178075275624","0.49444178075275624","0.49444178075275624","0.393616022146851","0.393616022146851","0.393616022146851","0.18558150849226873","0.18558150849226873","0.18558150849226873","0.5131251192211672","0.5131251192211672","0.5131251192211672","0.5186568929107939","0.5186568929107939","0.5186568929107939","0.026539952151894863","0.026539952151894863","0.026539952151894863","0.33340463991956615","0.33340463991956615","0.33340463991956615","0.33657598079230844","0.33657598079230844","0.33657598079230844"
"8","0.539768476476723","0.539768476476723","0.539768476476723","0.38214383856619183","0.38214383856619183","0.38214383856619183","0.15725933486516763","0.15725933486516763","0.15725933486516763","0.4700911643910708","0.4700911643910708","0.4700911643910708","0.5262575003324867","0.5262575003324867","0.5262575003324867","0.002145714148309108","0.002145714148309108","0.002145714148309108","0.2819196239186246","0.2819196239186246","0.2819196239186246","0.2995909420698395","0.2995909420698395","0.2995909420698395"
"9","0.5206714152776784","0.5206714152776784","0.5206714152776784","0.37226222854022306","0.37226222854022306","0.37226222854022306","0.09683673740405296","0.09683673740405296","0.09683673740405296","0.46628114204630244","0.46628114204630244","0.46628114204630244","0.5429405685213646","0.5429405685213646","0.5429405685213646","0","0","0","0.21351681082219276","0.21351681082219276","0.21351681082219276","0.286601010076314","0.286601010076314","0.286601010076314"
