"Step","train-MLP8 - QWK[High]","train-MLP8 - QWK[High]__MIN","train-MLP8 - QWK[High]__MAX","train-MLP7 - QWK[High]","train-MLP7 - QWK[High]__MIN","train-MLP7 - QWK[High]__MAX","train-MLP6 - QWK[High]","train-MLP6 - QWK[High]__MIN","train-MLP6 - QWK[High]__MAX","train-MLP5 - QWK[High]","train-MLP5 - QWK[High]__MIN","train-MLP5 - QWK[High]__MAX","train-MLP4 - QWK[High]","train-MLP4 - QWK[High]__MIN","train-MLP4 - QWK[High]__MAX","train-MLP3 - QWK[High]","train-MLP3 - QWK[High]__MIN","train-MLP3 - QWK[High]__MAX","train-MLP2 - QWK[High]","train-MLP2 - QWK[High]__MIN","train-MLP2 - QWK[High]__MAX","train-MLP1 - QWK[High]","train-MLP1 - QWK[High]__MIN","train-MLP1 - QWK[High]__MAX"
"0","0.3328303032891521","0.3328303032891521","0.3328303032891521","0.7079826558350579","0.7079826558350579","0.7079826558350579","0.524122702020428","0.524122702020428","0.524122702020428","0.7123619539941176","0.7123619539941176","0.7123619539941176","0.624056881290646","0.624056881290646","0.624056881290646","0.5681983882235924","0.5681983882235924","0.5681983882235924","0.22091522637715566","0.22091522637715566","0.22091522637715566","0.5531125636127339","0.5531125636127339","0.5531125636127339"
"1","0.2543436754212439","0.2543436754212439","0.2543436754212439","0.7102386390601739","0.7102386390601739","0.7102386390601739","0.5329354518279545","0.5329354518279545","0.5329354518279545","0.7352835685532144","0.7352835685532144","0.7352835685532144","0.6095527232688934","0.6095527232688934","0.6095527232688934","0.5627128758717774","0.5627128758717774","0.5627128758717774","0.3520083299270377","0.3520083299270377","0.3520083299270377","0.37931982480708426","0.37931982480708426","0.37931982480708426"
"2","0.2772433014083525","0.2772433014083525","0.2772433014083525","0.687629628619967","0.687629628619967","0.687629628619967","0.5876636080508618","0.5876636080508618","0.5876636080508618","0.7280367957338953","0.7280367957338953","0.7280367957338953","0.6061569199626693","0.6061569199626693","0.6061569199626693","0.5886871932866635","0.5886871932866635","0.5886871932866635","0.30845756457564577","0.30845756457564577","0.30845756457564577","0.45304810960823705","0.45304810960823705","0.45304810960823705"
"3","0.4750257181803702","0.4750257181803702","0.4750257181803702","0.6788027443572221","0.6788027443572221","0.6788027443572221","0.5826313357774242","0.5826313357774242","0.5826313357774242","0.7525678771872214","0.7525678771872214","0.7525678771872214","0.6157925863550102","0.6157925863550102","0.6157925863550102","0.5950845122508768","0.5950845122508768","0.5950845122508768","0.32575348436182405","0.32575348436182405","0.32575348436182405","0.5515821162860195","0.5515821162860195","0.5515821162860195"
"4","0.546655889481569","0.546655889481569","0.546655889481569","0.6623659091239944","0.6623659091239944","0.6623659091239944","0.5890004209420314","0.5890004209420314","0.5890004209420314","0.7391474145174963","0.7391474145174963","0.7391474145174963","0.619149215702089","0.619149215702089","0.619149215702089","0.6112873456223027","0.6112873456223027","0.6112873456223027","0.337204785496811","0.337204785496811","0.337204785496811","0.4899372187682841","0.4899372187682841","0.4899372187682841"
"5","0.4742194499838821","0.4742194499838821","0.4742194499838821","0.6225889405668712","0.6225889405668712","0.6225889405668712","0.5657401442511181","0.5657401442511181","0.5657401442511181","0.6709680821361232","0.6709680821361232","0.6709680821361232","0.6179891275874371","0.6179891275874371","0.6179891275874371","0.6135082875145978","0.6135082875145978","0.6135082875145978","0.3414934992652028","0.3414934992652028","0.3414934992652028","0.44521361493145994","0.44521361493145994","0.44521361493145994"
"6","0.3885546774953992","0.3885546774953992","0.3885546774953992","0.6127181965146355","0.6127181965146355","0.6127181965146355","0.5192333530922744","0.5192333530922744","0.5192333530922744","0.6813944236295311","0.6813944236295311","0.6813944236295311","0.6302544385674125","0.6302544385674125","0.6302544385674125","0.6460765848363423","0.6460765848363423","0.6460765848363423","0.3779050376359191","0.3779050376359191","0.3779050376359191","0.5130006728542523","0.5130006728542523","0.5130006728542523"
"7","0.3678107173439933","0.3678107173439933","0.3678107173439933","0.5441179138940062","0.5441179138940062","0.5441179138940062","0.44852347613185817","0.44852347613185817","0.44852347613185817","0.6656505869648561","0.6656505869648561","0.6656505869648561","0.6273824683717442","0.6273824683717442","0.6273824683717442","0.6529123245608075","0.6529123245608075","0.6529123245608075","0.45628106086699805","0.45628106086699805","0.45628106086699805","0.604000237001274","0.604000237001274","0.604000237001274"
"8","0.40284887992429197","0.40284887992429197","0.40284887992429197","0.5740643265946486","0.5740643265946486","0.5740643265946486","0.4378090347222662","0.4378090347222662","0.4378090347222662","0.7130574837127333","0.7130574837127333","0.7130574837127333","0.6244152783887058","0.6244152783887058","0.6244152783887058","0.6646640376905231","0.6646640376905231","0.6646640376905231","0.5421670438193551","0.5421670438193551","0.5421670438193551","0.6352165487747659","0.6352165487747659","0.6352165487747659"
"9","0.3357028367391758","0.3357028367391758","0.3357028367391758","0.44680493961852596","0.44680493961852596","0.44680493961852596","0.4406094073393393","0.4406094073393393","0.4406094073393393","0.7260959942390144","0.7260959942390144","0.7260959942390144","0.628221817350253","0.628221817350253","0.628221817350253","0.6639710708622957","0.6639710708622957","0.6639710708622957","0.5166340890441681","0.5166340890441681","0.5166340890441681","0.6324340413718829","0.6324340413718829","0.6324340413718829"
