"Step","train-MLP8 - QWK[Low]","train-MLP8 - QWK[Low]__MIN","train-MLP8 - QWK[Low]__MAX","train-MLP7 - QWK[Low]","train-MLP7 - QWK[Low]__MIN","train-MLP7 - QWK[Low]__MAX","train-MLP6 - QWK[Low]","train-MLP6 - QWK[Low]__MIN","train-MLP6 - QWK[Low]__MAX","train-MLP5 - QWK[Low]","train-MLP5 - QWK[Low]__MIN","train-MLP5 - QWK[Low]__MAX","train-MLP4 - QWK[Low]","train-MLP4 - QWK[Low]__MIN","train-MLP4 - QWK[Low]__MAX","train-MLP3 - QWK[Low]","train-MLP3 - QWK[Low]__MIN","train-MLP3 - QWK[Low]__MAX","train-MLP2 - QWK[Low]","train-MLP2 - QWK[Low]__MIN","train-MLP2 - QWK[Low]__MAX","train-MLP1 - QWK[Low]","train-MLP1 - QWK[Low]__MIN","train-MLP1 - QWK[Low]__MAX"
"0","0.3328303032891521","0.3328303032891521","0.3328303032891521","0.7079826558350579","0.7079826558350579","0.7079826558350579","0.524122702020428","0.524122702020428","0.524122702020428","0.7123619539941176","0.7123619539941176","0.7123619539941176","0.624056881290646","0.624056881290646","0.624056881290646","0.5681983882235924","0.5681983882235924","0.5681983882235924","0.22091522637715566","0.22091522637715566","0.22091522637715566","0.5531125636127339","0.5531125636127339","0.5531125636127339"
"1","0.4609902445108428","0.4609902445108428","0.4609902445108428","0.7001373629258724","0.7001373629258724","0.7001373629258724","0.5290495068023254","0.5290495068023254","0.5290495068023254","0.7220137101340927","0.7220137101340927","0.7220137101340927","0.6075021307487444","0.6075021307487444","0.6075021307487444","0.5196895521076265","0.5196895521076265","0.5196895521076265","0.2348257002425167","0.2348257002425167","0.2348257002425167","0.5247208858808037","0.5247208858808037","0.5247208858808037"
"2","0.4075933465633629","0.4075933465633629","0.4075933465633629","0.6156478205768113","0.6156478205768113","0.6156478205768113","0.5407299488248231","0.5407299488248231","0.5407299488248231","0.6629776860051523","0.6629776860051523","0.6629776860051523","0.5942423231248065","0.5942423231248065","0.5942423231248065","0.5061235584621803","0.5061235584621803","0.5061235584621803","0.12535926370441952","0.12535926370441952","0.12535926370441952","0.404534355353403","0.404534355353403","0.404534355353403"
"3","0.3966419060941341","0.3966419060941341","0.3966419060941341","0.5682412956372088","0.5682412956372088","0.5682412956372088","0.5905486987264654","0.5905486987264654","0.5905486987264654","0.6869728437216567","0.6869728437216567","0.6869728437216567","0.5921800521908374","0.5921800521908374","0.5921800521908374","0.3862577318570348","0.3862577318570348","0.3862577318570348","0.1509628039667178","0.1509628039667178","0.1509628039667178","0.3830255085566677","0.3830255085566677","0.3830255085566677"
"4","0.3565331406563832","0.3565331406563832","0.3565331406563832","0.5830110429786375","0.5830110429786375","0.5830110429786375","0.5392609897454064","0.5392609897454064","0.5392609897454064","0.5066428474538097","0.5066428474538097","0.5066428474538097","0.462057106518283","0.462057106518283","0.462057106518283","0.44505998829162174","0.44505998829162174","0.44505998829162174","0.14405817051301872","0.14405817051301872","0.14405817051301872","0.38106842694823184","0.38106842694823184","0.38106842694823184"
"5","0.28487332558617595","0.28487332558617595","0.28487332558617595","0.58540938428965","0.58540938428965","0.58540938428965","0.46653990365957954","0.46653990365957954","0.46653990365957954","0.40680421078802154","0.40680421078802154","0.40680421078802154","0.5150259221381176","0.5150259221381176","0.5150259221381176","0.2889152737324453","0.2889152737324453","0.2889152737324453","0.11509290860826693","0.11509290860826693","0.11509290860826693","0.22334146263020538","0.22334146263020538","0.22334146263020538"
"6","0.3849587929308943","0.3849587929308943","0.3849587929308943","0.5556577291639079","0.5556577291639079","0.5556577291639079","0.2826339308417374","0.2826339308417374","0.2826339308417374","0.337669758733636","0.337669758733636","0.337669758733636","0.2566028291706811","0.2566028291706811","0.2566028291706811","0.24013267337882038","0.24013267337882038","0.24013267337882038","0.10363308888561318","0.10363308888561318","0.10363308888561318","0.03137535941497638","0.03137535941497638","0.03137535941497638"
"7","0.3345846184461905","0.3345846184461905","0.3345846184461905","0.5403592728174009","0.5403592728174009","0.5403592728174009","0.33655093689824545","0.33655093689824545","0.33655093689824545","0.3847566426660384","0.3847566426660384","0.3847566426660384","0.141785336415562","0.141785336415562","0.141785336415562","0.2280296584763386","0.2280296584763386","0.2280296584763386","0.08482775824273081","0.08482775824273081","0.08482775824273081","-0.18402550853448552","-0.18402550853448552","-0.18402550853448552"
"8","0.09544754016599988","0.09544754016599988","0.09544754016599988","0.520218401786861","0.520218401786861","0.520218401786861","0.17822423263561704","0.17822423263561704","0.17822423263561704","0.3529629637194648","0.3529629637194648","0.3529629637194648","-0.3078806796999356","-0.3078806796999356","-0.3078806796999356","0.20183725309362344","0.20183725309362344","0.20183725309362344","0.020901584620209746","0.020901584620209746","0.020901584620209746","0.03993790517006657","0.03993790517006657","0.03993790517006657"
"9","-0.0022929696628601892","-0.0022929696628601892","-0.0022929696628601892","0.5051379410169329","0.5051379410169329","0.5051379410169329","0.04902372651060527","0.04902372651060527","0.04902372651060527","0.1574319355338062","0.1574319355338062","0.1574319355338062","-0.4514839286814314","-0.4514839286814314","-0.4514839286814314","0.11590246504631763","0.11590246504631763","0.11590246504631763","0","0","0","0.013242763913515976","0.013242763913515976","0.013242763913515976"
