"Step","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_low__MAX","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_low","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_low__MIN","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_low__MAX"
"0","0.7563024738078554","0.7563024738078554","0.7563024738078554","0.5958607512636255","0.5958607512636255","0.5958607512636255","0.6098727239466263","0.6098727239466263","0.6098727239466263","0.5953408711947596","0.5953408711947596","0.5953408711947596","0.6878337216931849","0.6878337216931849","0.6878337216931849","0.5656372224451167","0.5656372224451167","0.5656372224451167","0.7067172892287543","0.7067172892287543","0.7067172892287543","0.538130901860161","0.538130901860161","0.538130901860161"
"1","0.6229759798162158","0.6229759798162158","0.6229759798162158","0.5928988470999674","0.5928988470999674","0.5928988470999674","0.6057539012033315","0.6057539012033315","0.6057539012033315","0.532238822801056","0.532238822801056","0.532238822801056","0.6254406728444802","0.6254406728444802","0.6254406728444802","0.49331307909080324","0.49331307909080324","0.49331307909080324","0.7134485229935251","0.7134485229935251","0.7134485229935251","0.531590342438125","0.531590342438125","0.531590342438125"
"2","0.6072146899647111","0.6072146899647111","0.6072146899647111","0.5977744605780975","0.5977744605780975","0.5977744605780975","0.515368665112564","0.515368665112564","0.515368665112564","0.5655354229152237","0.5655354229152237","0.5655354229152237","0.6126723326326107","0.6126723326326107","0.6126723326326107","0.523129272599335","0.523129272599335","0.523129272599335","0.72000748528857","0.72000748528857","0.72000748528857","0.5872863494407778","0.5872863494407778","0.5872863494407778"
"3","0.6137584919517718","0.6137584919517718","0.6137584919517718","0.5401453276425628","0.5401453276425628","0.5401453276425628","0.25927840610802966","0.25927840610802966","0.25927840610802966","0.5645436477351918","0.5645436477351918","0.5645436477351918","0.6212884759459303","0.6212884759459303","0.6212884759459303","0.43078964939242026","0.43078964939242026","0.43078964939242026","0.7270017237547417","0.7270017237547417","0.7270017237547417","0.5646128946871416","0.5646128946871416","0.5646128946871416"
"4","0.5488303866721771","0.5488303866721771","0.5488303866721771","0.5260138650252943","0.5260138650252943","0.5260138650252943","0.2335066309126398","0.2335066309126398","0.2335066309126398","0.5066606779190185","0.5066606779190185","0.5066606779190185","0.6032749556658517","0.6032749556658517","0.6032749556658517","0.3807825686531692","0.3807825686531692","0.3807825686531692","0.6867912536485101","0.6867912536485101","0.6867912536485101","0.5543998951564726","0.5543998951564726","0.5543998951564726"
"5","0.4396575680338469","0.4396575680338469","0.4396575680338469","0.5583936605083468","0.5583936605083468","0.5583936605083468","0.20121507698738939","0.20121507698738939","0.20121507698738939","0.5400848774379072","0.5400848774379072","0.5400848774379072","0.6251328923718282","0.6251328923718282","0.6251328923718282","0.4624924943578276","0.4624924943578276","0.4624924943578276","0.6624018722717635","0.6624018722717635","0.6624018722717635","0.45903725648272764","0.45903725648272764","0.45903725648272764"
"6","0.4449558200964801","0.4449558200964801","0.4449558200964801","0.5451455526930933","0.5451455526930933","0.5451455526930933","0.18366612362889212","0.18366612362889212","0.18366612362889212","0.5510221995479146","0.5510221995479146","0.5510221995479146","0.5813986718106294","0.5813986718106294","0.5813986718106294","0.4070272824690667","0.4070272824690667","0.4070272824690667","0.6615795661182671","0.6615795661182671","0.6615795661182671","0.5538618516903855","0.5538618516903855","0.5538618516903855"
"7","0.3752345884423712","0.3752345884423712","0.3752345884423712","0.5274976436613739","0.5274976436613739","0.5274976436613739","0.05099497105108753","0.05099497105108753","0.05099497105108753","0.3754951217934033","0.3754951217934033","0.3754951217934033","0.4170459258674055","0.4170459258674055","0.4170459258674055","0.31625905008556365","0.31625905008556365","0.31625905008556365","0.5797484986811596","0.5797484986811596","0.5797484986811596","0.5599143610134364","0.5599143610134364","0.5599143610134364"
"8","0.28703493877966046","0.28703493877966046","0.28703493877966046","0.4515001893105234","0.4515001893105234","0.4515001893105234","0.029424388382850886","0.029424388382850886","0.029424388382850886","0.5002265760842491","0.5002265760842491","0.5002265760842491","0.45861445369002474","0.45861445369002474","0.45861445369002474","0.16556068024547743","0.16556068024547743","0.16556068024547743","0.5929046749622816","0.5929046749622816","0.5929046749622816","0.5448919148209694","0.5448919148209694","0.5448919148209694"
"9","0.30778185806520686","0.30778185806520686","0.30778185806520686","0.29230749661730815","0.29230749661730815","0.29230749661730815","0.011741826887721407","0.011741826887721407","0.011741826887721407","0.12174931319488569","0.12174931319488569","0.12174931319488569","0.4872614134684493","0.4872614134684493","0.4872614134684493","0.12248517752522414","0.12248517752522414","0.12248517752522414","0.5629293763738465","0.5629293763738465","0.5629293763738465","0.5428821572908897","0.5428821572908897","0.5428821572908897"
