"Step","train-deBERTa8 - best_test_qwk_low","train-deBERTa8 - best_test_qwk_low__MIN","train-deBERTa8 - best_test_qwk_low__MAX","train-deBERTa7 - best_test_qwk_low","train-deBERTa7 - best_test_qwk_low__MIN","train-deBERTa7 - best_test_qwk_low__MAX","train-deBERTa6 - best_test_qwk_low","train-deBERTa6 - best_test_qwk_low__MIN","train-deBERTa6 - best_test_qwk_low__MAX","train-deBERTa5 - best_test_qwk_low","train-deBERTa5 - best_test_qwk_low__MIN","train-deBERTa5 - best_test_qwk_low__MAX","train-deBERTa4 - best_test_qwk_low","train-deBERTa4 - best_test_qwk_low__MIN","train-deBERTa4 - best_test_qwk_low__MAX","train-deBERTa3 - best_test_qwk_low","train-deBERTa3 - best_test_qwk_low__MIN","train-deBERTa3 - best_test_qwk_low__MAX","train-deBERTa2 - best_test_qwk_low","train-deBERTa2 - best_test_qwk_low__MIN","train-deBERTa2 - best_test_qwk_low__MAX","train-deBERTa1 - best_test_qwk_low","train-deBERTa1 - best_test_qwk_low__MIN","train-deBERTa1 - best_test_qwk_low__MAX"
"0","0.32538322724028945","0.32538322724028945","0.32538322724028945","0.5457400035434303","0.5457400035434303","0.5457400035434303","0.5511756402566643","0.5511756402566643","0.5511756402566643","0.6810334552722539","0.6810334552722539","0.6810334552722539","0.6735482856050338","0.6735482856050338","0.6735482856050338","0.5956782577864703","0.5956782577864703","0.5956782577864703","0","0","0","0.3363718145979032","0.3363718145979032","0.3363718145979032"
"1","0.32288045873978655","0.32288045873978655","0.32288045873978655","0.5381689455508707","0.5381689455508707","0.5381689455508707","0.6452846635566836","0.6452846635566836","0.6452846635566836","0.6533215151756939","0.6533215151756939","0.6533215151756939","0","0","0","0.5416368518920663","0.5416368518920663","0.5416368518920663","0.49919254568236904","0.49919254568236904","0.49919254568236904","0.4062137042771642","0.4062137042771642","0.4062137042771642"
"2","0.49313445922420507","0.49313445922420507","0.49313445922420507","0.5437226581853188","0.5437226581853188","0.5437226581853188","0.6112629762599271","0.6112629762599271","0.6112629762599271","0.6611490570019762","0.6611490570019762","0.6611490570019762","0.5640062943729958","0.5640062943729958","0.5640062943729958","0.5397427051609733","0.5397427051609733","0.5397427051609733","0.4761508849286727","0.4761508849286727","0.4761508849286727","0.5165713149972879","0.5165713149972879","0.5165713149972879"
"3","0.5546872908842619","0.5546872908842619","0.5546872908842619","0.5775782545842773","0.5775782545842773","0.5775782545842773","0.6524235439333087","0.6524235439333087","0.6524235439333087","0.6440236896367248","0.6440236896367248","0.6440236896367248","0.5730740952536558","0.5730740952536558","0.5730740952536558","0.4223104013764552","0.4223104013764552","0.4223104013764552","0.4836233153919973","0.4836233153919973","0.4836233153919973","0.4423939981724498","0.4423939981724498","0.4423939981724498"
"4","0.5355028080908244","0.5355028080908244","0.5355028080908244","0.6470287448146835","0.6470287448146835","0.6470287448146835","0.5878887865170782","0.5878887865170782","0.5878887865170782","0.6754690182372457","0.6754690182372457","0.6754690182372457","0.592132204410152","0.592132204410152","0.592132204410152","0","0","0","0.42843488159176313","0.42843488159176313","0.42843488159176313","0.14593467784962455","0.14593467784962455","0.14593467784962455"
"5","0.5605179865247776","0.5605179865247776","0.5605179865247776","0.7040925094943349","0.7040925094943349","0.7040925094943349","0.6555483955221484","0.6555483955221484","0.6555483955221484","0.6979460605569794","0.6979460605569794","0.6979460605569794","0.57677657041558","0.57677657041558","0.57677657041558","0.5287155948630192","0.5287155948630192","0.5287155948630192","0.5525995978064808","0.5525995978064808","0.5525995978064808","0.4617256056870699","0.4617256056870699","0.4617256056870699"
"6","0.5831837682245873","0.5831837682245873","0.5831837682245873","0.6732889748592334","0.6732889748592334","0.6732889748592334","0.5507023080106894","0.5507023080106894","0.5507023080106894","0.7177388085430014","0.7177388085430014","0.7177388085430014","0.591728098253905","0.591728098253905","0.591728098253905","0.5489325071666977","0.5489325071666977","0.5489325071666977","0.5552762869829251","0.5552762869829251","0.5552762869829251","0.5901279654249834","0.5901279654249834","0.5901279654249834"
"7","0.49346785661704873","0.49346785661704873","0.49346785661704873","0.7549380050898125","0.7549380050898125","0.7549380050898125","0.5743685367062197","0.5743685367062197","0.5743685367062197","0.6743963964143013","0.6743963964143013","0.6743963964143013","0.5366527319505049","0.5366527319505049","0.5366527319505049","0.5596458244890532","0.5596458244890532","0.5596458244890532","0.5018159048215404","0.5018159048215404","0.5018159048215404","0.5445297716902824","0.5445297716902824","0.5445297716902824"
"8","0.4750915915060162","0.4750915915060162","0.4750915915060162","0.7240907469997877","0.7240907469997877","0.7240907469997877","0.6027164664276738","0.6027164664276738","0.6027164664276738","0.6748927555791199","0.6748927555791199","0.6748927555791199","0.5413394204582274","0.5413394204582274","0.5413394204582274","0.6440725190930587","0.6440725190930587","0.6440725190930587","0.44560879214383087","0.44560879214383087","0.44560879214383087","0.5342393014863411","0.5342393014863411","0.5342393014863411"
"9","0.5454274422742951","0.5454274422742951","0.5454274422742951","0.735040767776613","0.735040767776613","0.735040767776613","0.4968701395220546","0.4968701395220546","0.4968701395220546","0.6906493528049729","0.6906493528049729","0.6906493528049729","0.540621143383315","0.540621143383315","0.540621143383315","0.5529072522024547","0.5529072522024547","0.5529072522024547","0.2701120042818569","0.2701120042818569","0.2701120042818569","0.4936884017374573","0.4936884017374573","0.4936884017374573"
