"Step","train-MLP8 - QWK[High]","train-MLP8 - QWK[High]__MIN","train-MLP8 - QWK[High]__MAX","train-MLP7 - QWK[High]","train-MLP7 - QWK[High]__MIN","train-MLP7 - QWK[High]__MAX","train-MLP6 - QWK[High]","train-MLP6 - QWK[High]__MIN","train-MLP6 - QWK[High]__MAX","train-MLP5 - QWK[High]","train-MLP5 - QWK[High]__MIN","train-MLP5 - QWK[High]__MAX","train-MLP4 - QWK[High]","train-MLP4 - QWK[High]__MIN","train-MLP4 - QWK[High]__MAX","train-MLP3 - QWK[High]","train-MLP3 - QWK[High]__MIN","train-MLP3 - QWK[High]__MAX","train-MLP2 - QWK[High]","train-MLP2 - QWK[High]__MIN","train-MLP2 - QWK[High]__MAX","train-MLP1 - QWK[High]","train-MLP1 - QWK[High]__MIN","train-MLP1 - QWK[High]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.324868249031126","0.324868249031126","0.324868249031126","0.6101817144861086","0.6101817144861086","0.6101817144861086","0.5516016036330287","0.5516016036330287","0.5516016036330287","0.692656819791694","0.692656819791694","0.692656819791694","0.5576966954353924","0.5576966954353924","0.5576966954353924","0.5675146976117036","0.5675146976117036","0.5675146976117036","0.6325132013089256","0.6325132013089256","0.6325132013089256","0.7609458649056388","0.7609458649056388","0.7609458649056388"
"2","0.33385174226002134","0.33385174226002134","0.33385174226002134","0.6097353438137036","0.6097353438137036","0.6097353438137036","0.5527744794795875","0.5527744794795875","0.5527744794795875","0.6879654646853026","0.6879654646853026","0.6879654646853026","0.5630708479145958","0.5630708479145958","0.5630708479145958","0.5559176073548238","0.5559176073548238","0.5559176073548238","0.6289885710510669","0.6289885710510669","0.6289885710510669","0.7668381738647847","0.7668381738647847","0.7668381738647847"
"3","0.3336142858064337","0.3336142858064337","0.3336142858064337","0.6146831058411661","0.6146831058411661","0.6146831058411661","0.5523169390944054","0.5523169390944054","0.5523169390944054","0.6901338568355027","0.6901338568355027","0.6901338568355027","0.5537805598217627","0.5537805598217627","0.5537805598217627","0.5544187987296485","0.5544187987296485","0.5544187987296485","0.6220735561791997","0.6220735561791997","0.6220735561791997","0.7604307016640341","0.7604307016640341","0.7604307016640341"
"4","0.32248489290146987","0.32248489290146987","0.32248489290146987","0.6008466082606359","0.6008466082606359","0.6008466082606359","0.5494703792025186","0.5494703792025186","0.5494703792025186","0.6874422714814907","0.6874422714814907","0.6874422714814907","0.5335171005724356","0.5335171005724356","0.5335171005724356","0.5486289809747933","0.5486289809747933","0.5486289809747933","0.6104112890826808","0.6104112890826808","0.6104112890826808","0.7722403779567973","0.7722403779567973","0.7722403779567973"
"5","0.3156028848978675","0.3156028848978675","0.3156028848978675","0.6025039578255172","0.6025039578255172","0.6025039578255172","0.5464338776232276","0.5464338776232276","0.5464338776232276","0.6876986995793013","0.6876986995793013","0.6876986995793013","0.5291068612525087","0.5291068612525087","0.5291068612525087","0.5502654893330743","0.5502654893330743","0.5502654893330743","0.612659664246175","0.612659664246175","0.612659664246175","0.7785693116919196","0.7785693116919196","0.7785693116919196"
"6","0.3037581027723213","0.3037581027723213","0.3037581027723213","0.6080819106421929","0.6080819106421929","0.6080819106421929","0.5463231876074646","0.5463231876074646","0.5463231876074646","0.678196194928027","0.678196194928027","0.678196194928027","0.5092211523839252","0.5092211523839252","0.5092211523839252","0.5516293343833512","0.5516293343833512","0.5516293343833512","0.6064818561921476","0.6064818561921476","0.6064818561921476","0.7726346770611984","0.7726346770611984","0.7726346770611984"
"7","0.30827002598633946","0.30827002598633946","0.30827002598633946","0.6179576040679389","0.6179576040679389","0.6179576040679389","0.5411369612064262","0.5411369612064262","0.5411369612064262","0.6647610810429165","0.6647610810429165","0.6647610810429165","0.5046573747929863","0.5046573747929863","0.5046573747929863","0.5524512284802747","0.5524512284802747","0.5524512284802747","0.595888737957248","0.595888737957248","0.595888737957248","0.7792952258627993","0.7792952258627993","0.7792952258627993"
"8","0.32666915247209416","0.32666915247209416","0.32666915247209416","0.6407078715862251","0.6407078715862251","0.6407078715862251","0.5225229346621324","0.5225229346621324","0.5225229346621324","0.6509838913873138","0.6509838913873138","0.6509838913873138","0.48667635152273714","0.48667635152273714","0.48667635152273714","0.5354954416380212","0.5354954416380212","0.5354954416380212","0.5450648652407118","0.5450648652407118","0.5450648652407118","0.7694348128640587","0.7694348128640587","0.7694348128640587"
"9","0.36792956312566416","0.36792956312566416","0.36792956312566416","0.6707851310831361","0.6707851310831361","0.6707851310831361","0.47704082279620663","0.47704082279620663","0.47704082279620663","0.5711721868780415","0.5711721868780415","0.5711721868780415","0.4229856332756412","0.4229856332756412","0.4229856332756412","0.5114524277049114","0.5114524277049114","0.5114524277049114","0.46033103497425476","0.46033103497425476","0.46033103497425476","0.7314415951685882","0.7314415951685882","0.7314415951685882"
