"Step","train-MLP8 - QWK[Low]","train-MLP8 - QWK[Low]__MIN","train-MLP8 - QWK[Low]__MAX","train-MLP7 - QWK[Low]","train-MLP7 - QWK[Low]__MIN","train-MLP7 - QWK[Low]__MAX","train-MLP6 - QWK[Low]","train-MLP6 - QWK[Low]__MIN","train-MLP6 - QWK[Low]__MAX","train-MLP5 - QWK[Low]","train-MLP5 - QWK[Low]__MIN","train-MLP5 - QWK[Low]__MAX","train-MLP4 - QWK[Low]","train-MLP4 - QWK[Low]__MIN","train-MLP4 - QWK[Low]__MAX","train-MLP3 - QWK[Low]","train-MLP3 - QWK[Low]__MIN","train-MLP3 - QWK[Low]__MAX","train-MLP2 - QWK[Low]","train-MLP2 - QWK[Low]__MIN","train-MLP2 - QWK[Low]__MAX","train-MLP1 - QWK[Low]","train-MLP1 - QWK[Low]__MIN","train-MLP1 - QWK[Low]__MAX"
"0","0.34813538222842655","0.34813538222842655","0.34813538222842655","0.6370702921316078","0.6370702921316078","0.6370702921316078","0.5477608353139103","0.5477608353139103","0.5477608353139103","0.6986358315738807","0.6986358315738807","0.6986358315738807","0.5680020663993588","0.5680020663993588","0.5680020663993588","0.567373583553545","0.567373583553545","0.567373583553545","0.6366372823048806","0.6366372823048806","0.6366372823048806","0.7702744228739454","0.7702744228739454","0.7702744228739454"
"1","0.333566284855367","0.333566284855367","0.333566284855367","0.6423956651543286","0.6423956651543286","0.6423956651543286","0.5411280172337603","0.5411280172337603","0.5411280172337603","0.6969859875630297","0.6969859875630297","0.6969859875630297","0.5697349701729235","0.5697349701729235","0.5697349701729235","0.5685522063399909","0.5685522063399909","0.5685522063399909","0.6332862475056493","0.6332862475056493","0.6332862475056493","0.7683374777365646","0.7683374777365646","0.7683374777365646"
"2","0.3226311435739988","0.3226311435739988","0.3226311435739988","0.6413737603680889","0.6413737603680889","0.6413737603680889","0.5466326847040641","0.5466326847040641","0.5466326847040641","0.6996074621748265","0.6996074621748265","0.6996074621748265","0.5675232795901937","0.5675232795901937","0.5675232795901937","0.5598543590176981","0.5598543590176981","0.5598543590176981","0.6356233574125074","0.6356233574125074","0.6356233574125074","0.7595010199486144","0.7595010199486144","0.7595010199486144"
"3","0.31834865833038206","0.31834865833038206","0.31834865833038206","0.6503853327798977","0.6503853327798977","0.6503853327798977","0.537898628414087","0.537898628414087","0.537898628414087","0.7008707781121848","0.7008707781121848","0.7008707781121848","0.5749875405924483","0.5749875405924483","0.5749875405924483","0.5568188069609228","0.5568188069609228","0.5568188069609228","0.6321022604257579","0.6321022604257579","0.6321022604257579","0.7687873351545981","0.7687873351545981","0.7687873351545981"
"4","0.3138653906218082","0.3138653906218082","0.3138653906218082","0.6421794658901127","0.6421794658901127","0.6421794658901127","0.5452694645609749","0.5452694645609749","0.5452694645609749","0.6955477496572884","0.6955477496572884","0.6955477496572884","0.5735760250166517","0.5735760250166517","0.5735760250166517","0.5504062594041529","0.5504062594041529","0.5504062594041529","0.6312524629239833","0.6312524629239833","0.6312524629239833","0.7659234853742221","0.7659234853742221","0.7659234853742221"
"5","0.30108231975366906","0.30108231975366906","0.30108231975366906","0.6446276122988533","0.6446276122988533","0.6446276122988533","0.5350525887849744","0.5350525887849744","0.5350525887849744","0.6902230688871136","0.6902230688871136","0.6902230688871136","0.5774321398327094","0.5774321398327094","0.5774321398327094","0.5477869646351752","0.5477869646351752","0.5477869646351752","0.6277206613237037","0.6277206613237037","0.6277206613237037","0.7646489434846658","0.7646489434846658","0.7646489434846658"
"6","0.2954497979199576","0.2954497979199576","0.2954497979199576","0.6448905627446841","0.6448905627446841","0.6448905627446841","0.5334399083442607","0.5334399083442607","0.5334399083442607","0.6785383588877693","0.6785383588877693","0.6785383588877693","0.5713031190786041","0.5713031190786041","0.5713031190786041","0.5483115586075982","0.5483115586075982","0.5483115586075982","0.6272946003664599","0.6272946003664599","0.6272946003664599","0.7671609002181393","0.7671609002181393","0.7671609002181393"
"7","0.2854847050234055","0.2854847050234055","0.2854847050234055","0.6519821933329586","0.6519821933329586","0.6519821933329586","0.5267707276916023","0.5267707276916023","0.5267707276916023","0.6700128607760223","0.6700128607760223","0.6700128607760223","0.5572704163198292","0.5572704163198292","0.5572704163198292","0.5394625152609489","0.5394625152609489","0.5394625152609489","0.6166965369717292","0.6166965369717292","0.6166965369717292","0.7755340073065057","0.7755340073065057","0.7755340073065057"
"8","0.29560147434632267","0.29560147434632267","0.29560147434632267","0.6720649047770135","0.6720649047770135","0.6720649047770135","0.5027633286159339","0.5027633286159339","0.5027633286159339","0.6430193744793821","0.6430193744793821","0.6430193744793821","0.538858256685278","0.538858256685278","0.538858256685278","0.5197937915954232","0.5197937915954232","0.5197937915954232","0.5910823285701358","0.5910823285701358","0.5910823285701358","0.7728799794463649","0.7728799794463649","0.7728799794463649"
"9","0.3411649913288778","0.3411649913288778","0.3411649913288778","0.677202608608893","0.677202608608893","0.677202608608893","0.4540193473486559","0.4540193473486559","0.4540193473486559","0.5619795895623378","0.5619795895623378","0.5619795895623378","0.4833046220510626","0.4833046220510626","0.4833046220510626","0.4995996053038051","0.4995996053038051","0.4995996053038051","0.5055880228653602","0.5055880228653602","0.5055880228653602","0.7372624560880423","0.7372624560880423","0.7372624560880423"
