"Step","train-MLP8 - QWK[High]","train-MLP8 - QWK[High]__MIN","train-MLP8 - QWK[High]__MAX","train-MLP7 - QWK[High]","train-MLP7 - QWK[High]__MIN","train-MLP7 - QWK[High]__MAX","train-MLP6 - QWK[High]","train-MLP6 - QWK[High]__MIN","train-MLP6 - QWK[High]__MAX","train-MLP5 - QWK[High]","train-MLP5 - QWK[High]__MIN","train-MLP5 - QWK[High]__MAX","train-MLP4 - QWK[High]","train-MLP4 - QWK[High]__MIN","train-MLP4 - QWK[High]__MAX","train-MLP3 - QWK[High]","train-MLP3 - QWK[High]__MIN","train-MLP3 - QWK[High]__MAX","train-MLP2 - QWK[High]","train-MLP2 - QWK[High]__MIN","train-MLP2 - QWK[High]__MAX","train-MLP1 - QWK[High]","train-MLP1 - QWK[High]__MIN","train-MLP1 - QWK[High]__MAX"
"0","0.31844803334574634","0.31844803334574634","0.31844803334574634","0.7103839186750472","0.7103839186750472","0.7103839186750472","0.5175168845192895","0.5175168845192895","0.5175168845192895","0.7104546270166223","0.7104546270166223","0.7104546270166223","0.6169428459482007","0.6169428459482007","0.6169428459482007","0.5693590361445784","0.5693590361445784","0.5693590361445784","0.21639593642754507","0.21639593642754507","0.21639593642754507","0.5510327304162193","0.5510327304162193","0.5510327304162193"
"1","0.606705081850217","0.606705081850217","0.606705081850217","0.7249848449065281","0.7249848449065281","0.7249848449065281","0.4943367858606773","0.4943367858606773","0.4943367858606773","0.711923175335899","0.711923175335899","0.711923175335899","0.6100248332907312","0.6100248332907312","0.6100248332907312","0.5285419976511387","0.5285419976511387","0.5285419976511387","0.2463486990693201","0.2463486990693201","0.2463486990693201","0.6058746140560083","0.6058746140560083","0.6058746140560083"
"2","0.3694127071780233","0.3694127071780233","0.3694127071780233","0.7291488769177235","0.7291488769177235","0.7291488769177235","0.5053614010535956","0.5053614010535956","0.5053614010535956","0.7081524771791126","0.7081524771791126","0.7081524771791126","0.5767083210356951","0.5767083210356951","0.5767083210356951","0.5239421101382331","0.5239421101382331","0.5239421101382331","0.22501398572608322","0.22501398572608322","0.22501398572608322","0.5146127259955418","0.5146127259955418","0.5146127259955418"
"3","0.33228611121103124","0.33228611121103124","0.33228611121103124","0.6888811781943166","0.6888811781943166","0.6888811781943166","0.4599879350154973","0.4599879350154973","0.4599879350154973","0.6869326545464154","0.6869326545464154","0.6869326545464154","0.5833924576975139","0.5833924576975139","0.5833924576975139","0.5164704443362536","0.5164704443362536","0.5164704443362536","0.27774698164008715","0.27774698164008715","0.27774698164008715","0.3928111021224212","0.3928111021224212","0.3928111021224212"
"4","0.4942712534363334","0.4942712534363334","0.4942712534363334","0.7206731949256189","0.7206731949256189","0.7206731949256189","0.5542513484034304","0.5542513484034304","0.5542513484034304","0.7150432540342705","0.7150432540342705","0.7150432540342705","0.5705018787404259","0.5705018787404259","0.5705018787404259","0.5868178356558376","0.5868178356558376","0.5868178356558376","0.23404552991845695","0.23404552991845695","0.23404552991845695","0.4041811675956467","0.4041811675956467","0.4041811675956467"
"5","0.36860632928688053","0.36860632928688053","0.36860632928688053","0.706468910971765","0.706468910971765","0.706468910971765","0.5593938676801932","0.5593938676801932","0.5593938676801932","0.6997087281673519","0.6997087281673519","0.6997087281673519","0.5916732092426257","0.5916732092426257","0.5916732092426257","0.5466165547531401","0.5466165547531401","0.5466165547531401","0.2260119234389708","0.2260119234389708","0.2260119234389708","0.30900211802657884","0.30900211802657884","0.30900211802657884"
"6","0.35709449323878395","0.35709449323878395","0.35709449323878395","0.63747529465269","0.63747529465269","0.63747529465269","0.48816030344423034","0.48816030344423034","0.48816030344423034","0.6694660120880479","0.6694660120880479","0.6694660120880479","0.5751280613198728","0.5751280613198728","0.5751280613198728","0.5510195003694469","0.5510195003694469","0.5510195003694469","0.23303730017761992","0.23303730017761992","0.23303730017761992","0.47077983188189065","0.47077983188189065","0.47077983188189065"
"7","0.36468273084440583","0.36468273084440583","0.36468273084440583","0.6649279781475043","0.6649279781475043","0.6649279781475043","0.5217097356958627","0.5217097356958627","0.5217097356958627","0.6975184143491018","0.6975184143491018","0.6975184143491018","0.6145265500520888","0.6145265500520888","0.6145265500520888","0.5295127157875612","0.5295127157875612","0.5295127157875612","0.1503159308269355","0.1503159308269355","0.1503159308269355","0.4034323299689454","0.4034323299689454","0.4034323299689454"
"8","0.20283059158466643","0.20283059158466643","0.20283059158466643","0.6626480803082925","0.6626480803082925","0.6626480803082925","0.5011864921105171","0.5011864921105171","0.5011864921105171","0.6343470282770044","0.6343470282770044","0.6343470282770044","0.5839751626962804","0.5839751626962804","0.5839751626962804","0.5253495266316526","0.5253495266316526","0.5253495266316526","0.17241636343092281","0.17241636343092281","0.17241636343092281","0.39954841865255575","0.39954841865255575","0.39954841865255575"
"9","0.35664137667889495","0.35664137667889495","0.35664137667889495","0.6267784810461559","0.6267784810461559","0.6267784810461559","0.47585356082663277","0.47585356082663277","0.47585356082663277","0.6689854214460149","0.6689854214460149","0.6689854214460149","0.5519301787428426","0.5519301787428426","0.5519301787428426","0.5091022732306056","0.5091022732306056","0.5091022732306056","0.0867207948168196","0.0867207948168196","0.0867207948168196","0.20546315016954952","0.20546315016954952","0.20546315016954952"
